city,date,temp,humidity,description
New York,2025-07-15T13:00:00,80.01,78,moderate rain
New York,2025-07-16T13:00:00,88.68,54,light rain
New York,2025-07-17T13:00:00,89.04,57,moderate rain
New York,2025-07-18T13:00:00,79.72,72,moderate rain
New York,2025-07-12T13:00:00,84.06,68,broken clouds
New York,2025-07-13T13:00:00,81.9,64,broken clouds
New York,2025-07-14T13:00:00,84.63,60,heavy intensity rain
New York,2025-07-15T13:00:00,80.01,78,moderate rain
New York,2025-07-16T13:00:00,88.68,54,clear sky
New York,2025-07-17T13:00:00,92.97,50,light rain
New York,2025-07-18T13:00:00,95.76,42,overcast clouds
New York,2025-07-12T13:00:00,83.79,68,broken clouds
New York,2025-07-13T13:00:00,81.9,64,broken clouds
New York,2025-07-14T13:00:00,84.63,60,heavy intensity rain
New York,2025-07-15T13:00:00,80.01,78,moderate rain
New York,2025-07-16T13:00:00,88.68,54,clear sky
New York,2025-07-17T13:00:00,92.97,50,light rain
New York,2025-07-18T13:00:00,95.76,42,overcast clouds
new york,2025-07-13T13:00:00,82.49,74,overcast clouds
new york,2025-07-14T13:00:00,85.24,61,moderate rain
new york,2025-07-15T13:00:00,81.36,73,moderate rain
new york,2025-07-16T13:00:00,87.17,56,scattered clouds
new york,2025-07-17T13:00:00,92.3,53,light rain
new york,2025-07-18T13:00:00,93.99,44,light rain
new york,2025-07-19T13:00:00,86.25,51,light rain
new york,2025-07-13T13:00:00,82.49,74,overcast clouds
new york,2025-07-14T13:00:00,85.24,61,moderate rain
new york,2025-07-15T13:00:00,81.36,73,moderate rain
new york,2025-07-16T13:00:00,87.17,56,scattered clouds
new york,2025-07-17T13:00:00,92.3,53,light rain
new york,2025-07-18T13:00:00,93.99,44,light rain
new york,2025-07-19T13:00:00,86.25,51,light rain
new york,2025-07-13T13:00:00,82.38,74,overcast clouds
new york,2025-07-14T13:00:00,85.24,61,moderate rain
new york,2025-07-15T13:00:00,81.36,73,moderate rain
new york,2025-07-16T13:00:00,87.17,56,scattered clouds
new york,2025-07-17T13:00:00,92.3,53,light rain
new york,2025-07-18T13:00:00,93.99,44,light rain
new york,2025-07-19T13:00:00,86.25,51,light rain
Miami,2025-07-13T13:00:00,88.5,72,light rain
Miami,2025-07-14T13:00:00,86.05,59,very heavy rain
Miami,2025-07-15T13:00:00,78.28,79,moderate rain
Miami,2025-07-16T13:00:00,80.49,80,moderate rain
Miami,2025-07-17T13:00:00,86.05,65,light rain
Miami,2025-07-18T13:00:00,86.88,67,light rain
Miami,2025-07-19T13:00:00,85.87,67,light rain
miami,2025-07-13T13:00:00,89.04,71,light rain
miami,2025-07-14T13:00:00,84.67,49,very heavy rain
miami,2025-07-15T13:00:00,78.28,79,moderate rain
miami,2025-07-16T13:00:00,80.49,80,moderate rain
miami,2025-07-17T13:00:00,86.05,65,light rain
miami,2025-07-18T13:00:00,86.88,67,light rain
miami,2025-07-19T13:00:00,85.87,67,light rain
Miami,2025-07-13T13:00:00,89.04,71,light rain
Miami,2025-07-14T13:00:00,84.67,49,very heavy rain
Miami,2025-07-15T13:00:00,78.28,79,moderate rain
Miami,2025-07-16T13:00:00,80.49,80,moderate rain
Miami,2025-07-17T13:00:00,86.05,65,light rain
Miami,2025-07-18T13:00:00,86.88,67,light rain
Miami,2025-07-19T13:00:00,85.87,67,light rain
Miami,2025-07-13T13:00:00,89.04,71,light rain
Miami,2025-07-14T13:00:00,84.67,49,very heavy rain
Miami,2025-07-15T13:00:00,78.28,79,moderate rain
Miami,2025-07-16T13:00:00,80.49,80,moderate rain
Miami,2025-07-17T13:00:00,86.05,65,light rain
Miami,2025-07-18T13:00:00,86.88,67,light rain
Miami,2025-07-19T13:00:00,85.87,67,light rain
New York,2025-07-13T13:00:00,82.31,74,overcast clouds
New York,2025-07-14T13:00:00,84.72,60,moderate rain
New York,2025-07-15T13:00:00,81.36,73,moderate rain
New York,2025-07-16T13:00:00,87.17,56,scattered clouds
New York,2025-07-17T13:00:00,92.3,53,light rain
New York,2025-07-18T13:00:00,93.99,44,light rain
New York,2025-07-19T13:00:00,86.25,51,light rain
miami,2025-07-13T13:00:00,89.04,71,light rain
miami,2025-07-14T13:00:00,84.67,49,very heavy rain
miami,2025-07-15T13:00:00,78.28,79,moderate rain
miami,2025-07-16T13:00:00,80.49,80,moderate rain
miami,2025-07-17T13:00:00,86.05,65,light rain
miami,2025-07-18T13:00:00,86.88,67,light rain
miami,2025-07-19T13:00:00,85.87,67,light rain
new york,2025-07-16T13:00:00,87.93,65,light rain
new york,2025-07-17T13:00:00,90.9,50,moderate rain
new york,2025-07-18T13:00:00,85.05,34,light rain
new york,2025-07-19T13:00:00,85.33,38,broken clouds
new york,2025-07-20T13:00:00,83.59,69,moderate rain
new york,2025-07-21T13:00:00,82.92,38,broken clouds
new york,2025-07-22T13:00:00,79.25,39,clear sky
new york,2025-07-16T13:00:00,89.06,67,moderate rain
new york,2025-07-17T13:00:00,90.7,51,light rain
new york,2025-07-18T13:00:00,82.63,37,broken clouds
new york,2025-07-19T13:00:00,83.66,34,overcast clouds
new york,2025-07-20T13:00:00,75.49,86,moderate rain
new york,2025-07-21T13:00:00,82.99,46,few clouds
new york,2025-07-22T13:00:00,80.28,49,clear sky
new york,2025-07-16T13:00:00,89.67,67,moderate rain
new york,2025-07-17T13:00:00,90.7,51,light rain
new york,2025-07-18T13:00:00,82.63,37,broken clouds
new york,2025-07-19T13:00:00,83.66,34,overcast clouds
new york,2025-07-20T13:00:00,75.49,86,moderate rain
new york,2025-07-21T13:00:00,82.99,46,few clouds
new york,2025-07-22T13:00:00,80.28,49,clear sky
Miami,2025-07-16T13:00:00,88.5,70,light rain
Miami,2025-07-17T13:00:00,86.68,68,light rain
Miami,2025-07-18T13:00:00,86.29,67,light rain
Miami,2025-07-19T13:00:00,86.43,67,light rain
Miami,2025-07-20T13:00:00,87.19,62,scattered clouds
Miami,2025-07-21T13:00:00,86.83,60,light rain
Miami,2025-07-22T13:00:00,85.3,62,light rain
Miami,2025-07-16T13:00:00,88.5,70,light rain
Miami,2025-07-17T13:00:00,86.68,68,light rain
Miami,2025-07-18T13:00:00,86.29,67,light rain
Miami,2025-07-19T13:00:00,86.43,67,light rain
Miami,2025-07-20T13:00:00,87.19,62,scattered clouds
Miami,2025-07-21T13:00:00,86.83,60,light rain
Miami,2025-07-22T13:00:00,85.3,62,light rain
paris,2025-07-17T07:00:00,81.73,48,broken clouds
paris,2025-07-18T07:00:00,87.08,30,scattered clouds
paris,2025-07-19T07:00:00,77.85,55,light rain
paris,2025-07-20T07:00:00,74.79,48,moderate rain
paris,2025-07-21T07:00:00,66.96,71,light rain
paris,2025-07-22T07:00:00,75.42,48,light rain
paris,2025-07-23T07:00:00,70.74,51,broken clouds
perth amboy,2025-07-16T13:00:00,89.13,67,moderate rain
perth amboy,2025-07-17T13:00:00,89.6,53,light rain
perth amboy,2025-07-18T13:00:00,82.76,39,scattered clouds
perth amboy,2025-07-19T13:00:00,83.93,37,overcast clouds
perth amboy,2025-07-20T13:00:00,74.37,92,moderate rain
perth amboy,2025-07-21T13:00:00,79.88,53,few clouds
perth amboy,2025-07-22T13:00:00,80.44,48,clear sky
Santo Domingo,2025-07-16T12:00:00,89.38,71,moderate rain
Santo Domingo,2025-07-17T12:00:00,83.79,60,moderate rain
Santo Domingo,2025-07-18T12:00:00,85.98,65,moderate rain
Santo Domingo,2025-07-19T12:00:00,83.44,70,light rain
Santo Domingo,2025-07-20T12:00:00,81.77,75,light rain
Santo Domingo,2025-07-21T12:00:00,85.48,59,light rain
Santo Domingo,2025-07-22T12:00:00,85.28,64,light rain
Santo Domingo,2025-07-16T12:00:00,89.38,71,moderate rain
Santo Domingo,2025-07-17T12:00:00,83.79,60,moderate rain
Santo Domingo,2025-07-18T12:00:00,85.98,65,moderate rain
Santo Domingo,2025-07-19T12:00:00,83.44,70,light rain
Santo Domingo,2025-07-20T12:00:00,81.77,75,light rain
Santo Domingo,2025-07-21T12:00:00,85.48,59,light rain
Santo Domingo,2025-07-22T12:00:00,85.28,64,light rain
Miami,2025-07-17T13:00:00,89.08,73,light rain
Miami,2025-07-18T13:00:00,87.17,65,overcast clouds
Miami,2025-07-19T13:00:00,86.83,61,clear sky
Miami,2025-07-20T13:00:00,86.63,59,clear sky
Miami,2025-07-21T13:00:00,86.25,62,overcast clouds
Miami,2025-07-22T13:00:00,87.93,58,light rain
Miami,2025-07-23T13:00:00,87.1,60,light rain
New York,2025-07-17T13:00:00,90.01,61,broken clouds
New York,2025-07-18T13:00:00,82.62,35,scattered clouds
New York,2025-07-19T13:00:00,81.66,56,overcast clouds
New York,2025-07-20T13:00:00,87.24,53,light rain
New York,2025-07-21T13:00:00,79.79,29,clear sky
New York,2025-07-22T13:00:00,79.83,25,few clouds
New York,2025-07-23T13:00:00,79.5,41,broken clouds
new york,2025-07-19T13:00:00,80.01,66,light rain
new york,2025-07-20T13:00:00,87.57,45,moderate rain
new york,2025-07-21T13:00:00,79.92,29,clear sky
new york,2025-07-22T13:00:00,77.58,28,scattered clouds
new york,2025-07-23T13:00:00,80.29,43,broken clouds
miami,2025-07-19T13:00:00,91.99,63,few clouds
miami,2025-07-20T13:00:00,86.59,63,few clouds
miami,2025-07-21T13:00:00,87.01,60,few clouds
miami,2025-07-22T13:00:00,87.39,57,heavy intensity rain
miami,2025-07-23T13:00:00,83.43,64,moderate rain
houston,2025-07-19T14:00:00,92.5,61,light rain
houston,2025-07-20T14:00:00,95.67,42,broken clouds
houston,2025-07-21T14:00:00,96.51,37,scattered clouds
houston,2025-07-22T14:00:00,97.12,37,clear sky
houston,2025-07-23T14:00:00,99.14,33,clear sky
atlanta,2025-07-19T13:00:00,85.44,68,scattered clouds
atlanta,2025-07-20T13:00:00,83.53,64,light rain
atlanta,2025-07-21T13:00:00,95.72,38,scattered clouds
atlanta,2025-07-22T13:00:00,97.38,34,light rain
atlanta,2025-07-23T13:00:00,89.35,42,moderate rain
atlanta,2025-07-19T13:00:00,85.44,68,scattered clouds
atlanta,2025-07-20T13:00:00,83.53,64,light rain
atlanta,2025-07-21T13:00:00,95.72,38,scattered clouds
atlanta,2025-07-22T13:00:00,97.38,34,light rain
atlanta,2025-07-23T13:00:00,89.35,42,moderate rain
New York,2025-07-20T13:00:00,84.47,68,light rain
New York,2025-07-21T13:00:00,83.46,30,clear sky
New York,2025-07-22T13:00:00,79.68,28,scattered clouds
New York,2025-07-23T13:00:00,81.55,42,few clouds
New York,2025-07-24T13:00:00,86.14,48,scattered clouds
Miami,2025-07-20T13:00:00,90.59,66,scattered clouds
Miami,2025-07-21T13:00:00,86.81,61,broken clouds
Miami,2025-07-22T13:00:00,87.48,61,moderate rain
Miami,2025-07-23T13:00:00,86.54,61,moderate rain
Miami,2025-07-24T13:00:00,87.58,64,light rain
Paris,2025-07-20T07:00:00,63.9,77,heavy intensity rain
Paris,2025-07-21T07:00:00,66.33,83,moderate rain
Paris,2025-07-22T07:00:00,73.35,48,overcast clouds
Paris,2025-07-23T07:00:00,69.24,64,moderate rain
Paris,2025-07-24T07:00:00,72.88,50,light rain
New York,2025-07-20T13:00:00,84.4,67,light rain
New York,2025-07-21T13:00:00,83.46,30,clear sky
New York,2025-07-22T13:00:00,79.68,28,scattered clouds
New York,2025-07-23T13:00:00,81.55,42,few clouds
New York,2025-07-24T13:00:00,86.14,48,scattered clouds
Miami,2025-07-20T13:00:00,90.54,65,scattered clouds
Miami,2025-07-21T13:00:00,86.81,61,broken clouds
Miami,2025-07-22T13:00:00,87.48,61,moderate rain
Miami,2025-07-23T13:00:00,86.54,61,moderate rain
Miami,2025-07-24T13:00:00,87.58,64,light rain
Paris,2025-07-20T07:00:00,64.11,76,heavy intensity rain
Paris,2025-07-21T07:00:00,66.33,83,moderate rain
Paris,2025-07-22T07:00:00,73.35,48,overcast clouds
Paris,2025-07-23T07:00:00,69.24,64,moderate rain
Paris,2025-07-24T07:00:00,72.88,50,light rain
Los Angeles,2025-07-20T15:00:00,75.87,61,few clouds
Los Angeles,2025-07-21T15:00:00,78.04,46,clear sky
Los Angeles,2025-07-22T15:00:00,77.05,45,clear sky
Los Angeles,2025-07-23T15:00:00,75.79,46,clear sky
Los Angeles,2025-07-24T15:00:00,76.53,41,scattered clouds
Chicago,2025-07-20T13:00:00,69.73,86,light rain
Chicago,2025-07-21T13:00:00,78.66,57,broken clouds
Chicago,2025-07-22T13:00:00,83.01,54,few clouds
Chicago,2025-07-23T13:00:00,93.07,50,light rain
Chicago,2025-07-24T13:00:00,90.21,52,light rain
New York,2025-07-20T13:00:00,85.19,67,light rain
New York,2025-07-21T13:00:00,83.46,30,clear sky
New York,2025-07-22T13:00:00,79.68,28,scattered clouds
New York,2025-07-23T13:00:00,81.55,42,few clouds
New York,2025-07-24T13:00:00,86.14,48,scattered clouds
Santo Domingo,2025-07-20T12:00:00,87.94,75,light rain
Santo Domingo,2025-07-21T12:00:00,86.41,60,light rain
Santo Domingo,2025-07-22T12:00:00,87.49,57,light rain
Santo Domingo,2025-07-23T12:00:00,85.96,60,light rain
Santo Domingo,2025-07-24T12:00:00,86.77,62,light rain
Mexico City,2025-07-20T14:00:00,68.58,58,light rain
Mexico City,2025-07-21T14:00:00,72.93,37,light rain
Mexico City,2025-07-22T14:00:00,74.34,40,overcast clouds
Mexico City,2025-07-23T14:00:00,73.85,41,light rain
Mexico City,2025-07-24T14:00:00,73.08,46,light rain
Houston,2025-07-20T14:00:00,89.04,66,broken clouds
Houston,2025-07-21T14:00:00,97.63,36,clear sky
Houston,2025-07-22T14:00:00,97.97,38,scattered clouds
Houston,2025-07-23T14:00:00,99.97,28,clear sky
Houston,2025-07-24T14:00:00,100.18,31,overcast clouds
New York,2025-07-20T13:00:00,87.75,63,light rain
New York,2025-07-21T13:00:00,83.46,30,clear sky
New York,2025-07-22T13:00:00,79.68,28,scattered clouds
New York,2025-07-23T13:00:00,81.59,40,clear sky
New York,2025-07-24T13:00:00,86.14,48,scattered clouds
Miami,2025-07-20T13:00:00,91.4,64,scattered clouds
Miami,2025-07-21T13:00:00,86.81,61,broken clouds
Miami,2025-07-22T13:00:00,87.48,61,moderate rain
Miami,2025-07-23T13:00:00,86.45,62,moderate rain
Miami,2025-07-24T13:00:00,87.58,64,light rain
Miami,2025-07-20T13:00:00,91.4,64,scattered clouds
Miami,2025-07-21T13:00:00,86.81,61,broken clouds
Miami,2025-07-22T13:00:00,87.48,61,moderate rain
Miami,2025-07-23T13:00:00,86.45,62,moderate rain
Miami,2025-07-24T13:00:00,87.58,64,light rain
Boston,2025-07-20T12:00:00,83.05,70,moderate rain
Boston,2025-07-21T12:00:00,77.77,35,clear sky
Boston,2025-07-22T12:00:00,72.1,31,clear sky
Boston,2025-07-23T12:00:00,80.94,33,broken clouds
Boston,2025-07-24T12:00:00,84.52,43,broken clouds
new york,2025-07-20T13:00:00,88.3,62,light rain
new york,2025-07-21T13:00:00,83.46,30,clear sky
new york,2025-07-22T13:00:00,79.68,28,scattered clouds
new york,2025-07-23T13:00:00,81.59,40,clear sky
new york,2025-07-24T13:00:00,86.14,48,scattered clouds
boston,2025-07-20T12:00:00,83.8,69,moderate rain
boston,2025-07-21T12:00:00,77.77,35,clear sky
boston,2025-07-22T12:00:00,72.1,31,clear sky
boston,2025-07-23T12:00:00,80.94,33,broken clouds
boston,2025-07-24T12:00:00,84.52,43,broken clouds
boston,2025-07-20T12:00:00,83.8,69,moderate rain
boston,2025-07-21T12:00:00,77.77,35,clear sky
boston,2025-07-22T12:00:00,72.1,31,clear sky
boston,2025-07-23T12:00:00,80.94,33,broken clouds
boston,2025-07-24T12:00:00,84.52,43,broken clouds
boston,2025-07-20T12:00:00,83.8,69,moderate rain
boston,2025-07-21T12:00:00,77.77,35,clear sky
boston,2025-07-22T12:00:00,72.1,31,clear sky
boston,2025-07-23T12:00:00,80.94,33,broken clouds
boston,2025-07-24T12:00:00,84.52,43,broken clouds
miami,2025-07-20T13:00:00,91.78,65,clear sky
miami,2025-07-21T13:00:00,86.81,61,broken clouds
miami,2025-07-22T13:00:00,87.48,61,moderate rain
miami,2025-07-23T13:00:00,86.45,62,moderate rain
miami,2025-07-24T13:00:00,87.58,64,light rain
