city,date,temp,humidity,description
new york,2025-07-10T13:00:00,81.27,72,moderate rain
new york,2025-07-11T13:00:00,83.32,63,light rain
new york,2025-07-12T13:00:00,84.42,58,scattered clouds
new york,2025-07-13T13:00:00,81.9,63,scattered clouds
new york,2025-07-14T13:00:00,80.19,72,light rain
new york,2025-07-15T13:00:00,92.53,28,light rain
new york,2025-07-16T13:00:00,90.64,50,scattered clouds
new york,2025-07-11T13:00:00,83.32,67,light rain
new york,2025-07-12T13:00:00,85.37,51,scattered clouds
new york,2025-07-13T13:00:00,82.69,60,few clouds
new york,2025-07-14T13:00:00,84.38,61,light rain
new york,2025-07-15T13:00:00,86.7,56,light rain
new york,2025-07-16T13:00:00,88.61,56,light rain
new york,2025-07-17T13:00:00,88.02,59,few clouds
chicago,2025-07-11T13:00:00,83.57,69,heavy intensity rain
chicago,2025-07-12T13:00:00,75.9,85,moderate rain
chicago,2025-07-13T13:00:00,78.85,50,broken clouds
chicago,2025-07-14T13:00:00,81.88,46,clear sky
chicago,2025-07-15T13:00:00,85.78,55,scattered clouds
chicago,2025-07-16T13:00:00,89.55,48,light rain
chicago,2025-07-17T13:00:00,80.04,72,moderate rain
New York,2025-07-11T13:00:00,85.21,69,light rain
New York,2025-07-12T13:00:00,85.33,54,scattered clouds
New York,2025-07-13T13:00:00,82.49,60,clear sky
New York,2025-07-14T13:00:00,84.36,61,moderate rain
New York,2025-07-15T13:00:00,88.56,55,light rain
New York,2025-07-16T13:00:00,88.54,56,light rain
New York,2025-07-17T13:00:00,88.48,58,light rain
New York,2025-07-12T13:00:00,84.09,54,scattered clouds
New York,2025-07-13T13:00:00,81.81,62,scattered clouds
New York,2025-07-14T13:00:00,79.29,74,moderate rain
New York,2025-07-15T13:00:00,89.65,50,light rain
New York,2025-07-16T13:00:00,89.76,53,moderate rain
New York,2025-07-17T13:00:00,88.09,54,light rain
new york,2025-07-11T13:00:00,85.21,69,light rain
new york,2025-07-12T13:00:00,84.09,54,scattered clouds
new york,2025-07-13T13:00:00,81.81,62,scattered clouds
new york,2025-07-14T13:00:00,79.29,74,moderate rain
new york,2025-07-15T13:00:00,89.65,50,light rain
new york,2025-07-16T13:00:00,89.76,53,moderate rain
new york,2025-07-17T13:00:00,88.09,54,light rain
miami,2025-07-11T13:00:00,89.87,67,moderate rain
miami,2025-07-12T13:00:00,92.48,63,moderate rain
miami,2025-07-13T13:00:00,87.6,58,heavy intensity rain
miami,2025-07-14T13:00:00,86.52,55,heavy intensity rain
miami,2025-07-15T13:00:00,82.63,70,moderate rain
miami,2025-07-16T13:00:00,84.18,70,moderate rain
miami,2025-07-17T13:00:00,87.06,64,light rain
chicago,2025-07-11T13:00:00,82.36,74,very heavy rain
chicago,2025-07-12T13:00:00,80.85,67,moderate rain
chicago,2025-07-13T13:00:00,77.76,52,overcast clouds
chicago,2025-07-14T13:00:00,83.52,46,overcast clouds
chicago,2025-07-15T13:00:00,70.72,78,light rain
chicago,2025-07-16T13:00:00,84.11,60,heavy intensity rain
chicago,2025-07-17T13:00:00,82.45,66,moderate rain
los angeles,2025-07-11T15:00:00,83.16,58,clear sky
los angeles,2025-07-12T15:00:00,80.71,40,clear sky
los angeles,2025-07-13T15:00:00,80.29,40,clear sky
los angeles,2025-07-14T15:00:00,81.16,39,clear sky
los angeles,2025-07-15T15:00:00,77.43,44,clear sky
los angeles,2025-07-16T15:00:00,75.27,48,clear sky
los angeles,2025-07-17T15:00:00,75.65,47,clear sky
paris,2025-07-12T07:00:00,79.74,41,clear sky
paris,2025-07-13T07:00:00,84.81,30,light rain
paris,2025-07-14T07:00:00,77.83,41,light rain
paris,2025-07-15T07:00:00,78.01,29,light rain
paris,2025-07-16T07:00:00,85.05,28,few clouds
paris,2025-07-17T07:00:00,88.05,25,few clouds
paris,2025-07-18T07:00:00,78.94,43,broken clouds
new york,2025-07-12T13:00:00,84.69,67,overcast clouds
new york,2025-07-13T13:00:00,82.85,62,scattered clouds
new york,2025-07-14T13:00:00,85.41,60,moderate rain
new york,2025-07-15T13:00:00,90.48,48,light rain
new york,2025-07-16T13:00:00,90.21,53,light rain
new york,2025-07-17T13:00:00,89.04,57,moderate rain
new york,2025-07-18T13:00:00,79.72,72,moderate rain
miami,2025-07-12T13:00:00,90.66,72,moderate rain
miami,2025-07-13T13:00:00,89.55,55,heavy intensity rain
miami,2025-07-14T13:00:00,82.71,62,moderate rain
miami,2025-07-15T13:00:00,77.92,80,moderate rain
miami,2025-07-16T13:00:00,82.72,74,moderate rain
miami,2025-07-17T13:00:00,86.5,65,moderate rain
miami,2025-07-18T13:00:00,87.57,65,light rain
austin,2025-07-12T14:00:00,90.0,66,light rain
austin,2025-07-13T14:00:00,91.42,50,light rain
austin,2025-07-14T14:00:00,92.41,47,broken clouds
austin,2025-07-15T14:00:00,93.63,44,broken clouds
austin,2025-07-16T14:00:00,94.03,39,clear sky
austin,2025-07-17T14:00:00,93.61,33,few clouds
austin,2025-07-18T14:00:00,94.37,33,clear sky
new york,2025-07-12T13:00:00,84.38,68,broken clouds
new york,2025-07-12T13:00:00,83.91,68,broken clouds
New York,2025-07-12T13:00:00,83.7,68,broken clouds
New York,2025-07-13T13:00:00,81.9,64,broken clouds
New York,2025-07-14T13:00:00,84.63,60,heavy intensity rain
New York,2025-07-15T13:00:00,80.01,78,moderate rain
New York,2025-07-16T13:00:00,88.68,54,light rain
New York,2025-07-17T13:00:00,89.04,57,moderate rain
New York,2025-07-18T13:00:00,79.72,72,moderate rain
New York,2025-07-12T13:00:00,84.06,68,broken clouds
New York,2025-07-16T13:00:00,88.68,54,clear sky
New York,2025-07-17T13:00:00,92.97,50,light rain
New York,2025-07-18T13:00:00,95.76,42,overcast clouds
New York,2025-07-12T13:00:00,83.79,68,broken clouds
new york,2025-07-13T13:00:00,82.49,74,overcast clouds
new york,2025-07-14T13:00:00,85.24,61,moderate rain
new york,2025-07-15T13:00:00,81.36,73,moderate rain
new york,2025-07-16T13:00:00,87.17,56,scattered clouds
new york,2025-07-17T13:00:00,92.3,53,light rain
new york,2025-07-18T13:00:00,93.99,44,light rain
new york,2025-07-19T13:00:00,86.25,51,light rain
new york,2025-07-13T13:00:00,82.38,74,overcast clouds
Miami,2025-07-13T13:00:00,88.5,72,light rain
Miami,2025-07-14T13:00:00,86.05,59,very heavy rain
Miami,2025-07-15T13:00:00,78.28,79,moderate rain
Miami,2025-07-16T13:00:00,80.49,80,moderate rain
Miami,2025-07-17T13:00:00,86.05,65,light rain
Miami,2025-07-18T13:00:00,86.88,67,light rain
Miami,2025-07-19T13:00:00,85.87,67,light rain
miami,2025-07-13T13:00:00,89.04,71,light rain
miami,2025-07-14T13:00:00,84.67,49,very heavy rain
miami,2025-07-15T13:00:00,78.28,79,moderate rain
miami,2025-07-16T13:00:00,80.49,80,moderate rain
miami,2025-07-17T13:00:00,86.05,65,light rain
miami,2025-07-18T13:00:00,86.88,67,light rain
miami,2025-07-19T13:00:00,85.87,67,light rain
Miami,2025-07-13T13:00:00,89.04,71,light rain
Miami,2025-07-14T13:00:00,84.67,49,very heavy rain
New York,2025-07-13T13:00:00,82.31,74,overcast clouds
New York,2025-07-14T13:00:00,84.72,60,moderate rain
New York,2025-07-15T13:00:00,81.36,73,moderate rain
New York,2025-07-16T13:00:00,87.17,56,scattered clouds
New York,2025-07-17T13:00:00,92.3,53,light rain
New York,2025-07-18T13:00:00,93.99,44,light rain
New York,2025-07-19T13:00:00,86.25,51,light rain
new york,2025-07-16T13:00:00,87.93,65,light rain
new york,2025-07-17T13:00:00,90.9,50,moderate rain
new york,2025-07-18T13:00:00,85.05,34,light rain
new york,2025-07-19T13:00:00,85.33,38,broken clouds
new york,2025-07-20T13:00:00,83.59,69,moderate rain
new york,2025-07-21T13:00:00,82.92,38,broken clouds
new york,2025-07-22T13:00:00,79.25,39,clear sky
new york,2025-07-16T13:00:00,89.06,67,moderate rain
new york,2025-07-17T13:00:00,90.7,51,light rain
new york,2025-07-18T13:00:00,82.63,37,broken clouds
new york,2025-07-19T13:00:00,83.66,34,overcast clouds
new york,2025-07-20T13:00:00,75.49,86,moderate rain
new york,2025-07-21T13:00:00,82.99,46,few clouds
new york,2025-07-22T13:00:00,80.28,49,clear sky
new york,2025-07-16T13:00:00,89.67,67,moderate rain
Miami,2025-07-16T13:00:00,88.5,70,light rain
Miami,2025-07-17T13:00:00,86.68,68,light rain
Miami,2025-07-18T13:00:00,86.29,67,light rain
Miami,2025-07-19T13:00:00,86.43,67,light rain
Miami,2025-07-20T13:00:00,87.19,62,scattered clouds
Miami,2025-07-21T13:00:00,86.83,60,light rain
Miami,2025-07-22T13:00:00,85.3,62,light rain
paris,2025-07-17T07:00:00,81.73,48,broken clouds
paris,2025-07-18T07:00:00,87.08,30,scattered clouds
paris,2025-07-19T07:00:00,77.85,55,light rain
paris,2025-07-20T07:00:00,74.79,48,moderate rain
paris,2025-07-21T07:00:00,66.96,71,light rain
paris,2025-07-22T07:00:00,75.42,48,light rain
paris,2025-07-23T07:00:00,70.74,51,broken clouds
perth amboy,2025-07-16T13:00:00,89.13,67,moderate rain
perth amboy,2025-07-17T13:00:00,89.6,53,light rain
perth amboy,2025-07-18T13:00:00,82.76,39,scattered clouds
perth amboy,2025-07-19T13:00:00,83.93,37,overcast clouds
perth amboy,2025-07-20T13:00:00,74.37,92,moderate rain
perth amboy,2025-07-21T13:00:00,79.88,53,few clouds
perth amboy,2025-07-22T13:00:00,80.44,48,clear sky
